text,labels
"@chumeltorres ya cabrón! sin tí se reciben las noticias sin colchoncito, puro chingadazo. #extrañoreirconchumel",1
¿alguien es tan amable de ir a hacerme la compra mañana? estoy de un bajón y de antojos que… https://t.co/z5qc6tiobc,0
"@jenniferduquee hahaha, si está rico, nadamas le falta presentación.",0
@evagelcot donde lo ves!!? es mi programa favorito y sólo encuentro hasta temporada 5-6 y esos ya los tengo vistos,0
como siempre mi tortilla triunfa mas que otros platos #playa… https://t.co/c60tc2teqv,0
yo solo quiero a alguien que odie a7x conmigo,0
mi mamá cumple años hoy. y este es uno de los días más felices para mí la amo mucho.,0
@pvaya @sailor_tesserei @sh3rrymh es que es una reivindicación muy de moda... ya sabes... de gente pedante como yo,0
"#eneneroyo estaré más al pendiente de mi familia, mis fans y estaré al pendiente de sus mensajes pequeños amores",0
"@yolanday_y @el_pais tras 72.000 años de viaje, conformate con que haya moléculas de potasio y estén buenas ",0
pocas maneras mejores se me ocurren para empezar una semana... https://t.co/p5woxm5ffl,0
@soyalannavarro buenas noches risitas ...sueña bonito...!,0
"@she_ra_h @darinasilver ya me habían hecho pixie y me quedan chidos, pero tengo mucho pelo y quise recortarlo más. mi error",0
yo esperaba encontrar un boleto para ir al partido de mis spurs vs suns en la cdmx de bajo de mi arbolito,0
"yo mantendría que toby está vivo si no fuese por el tuit de keegs, por el insta de troian de hace unos días..... esas cosas sabéis ",0
"@kiwiliberal confundes conceptos, este es el nivel, medidas sociales ≠ socialismo. buenas noches que mañana se madruga ¿o no? ",0
"buenos días!!! cuando la vida es dulce, da las gracias y sonríe. cuando no es así, da las gracias, crece y aprende... besitos",0
"igual y estoy mal yo, pero con lo del tiburón que se mete a la jaula, ¿soy el único que le preocupa que se lastimó, se ve que se cortó!",0
buenos días bbs qué tal yo mal,0
"es la crónica de un ciego y su mentira, que mil veces repetida se convertirá en verdad... #mn ",0
@cesarcpi @bl3ssur @retrotrainer búscame un zapdos de esos legales que tanto te gustan wapo,0
"@miguelbarranco5 @llautet @belenfgonzalez @pastoreta1 @betemilio @txemadomi @minadeideas hola miguel no,ahora estoy en ella ",0
tú que he ido a cenar a mar de cristal y me he inflado y me duele la barriga,0
@iriswextallen pues estarán viendo una serie diferente que tú y yo oye porque no hay absolutamente nada entre esos dos,0
ya me está doliendo la cabeza de estar todo el día acostada. por qué soy así??,0
hoy reafirme que soy un adulto y no. 1. no necesito pedir permiso a nadie para ir a algún lugar. 2. me sigue dando miedo it,0
@sergiosmiles mirate d gray-man desde cero puta,1
clásico día donostiarra para quedarse en casita con el fútbol #donostia #fútbol,0
estoy contenta y cagadisima a la vez,0
"terapia de #firstdates112 si el panorama está así es normal que siga soltera, el problema no soy yo. me siento mejor ",0
"si está claro, la culpa es mía ",0
mi espalda esta bien chicos no os preocupeis p espero que el juicio sea lento y me libre de la carcel https://t.co/tbkc1vivoo,0
@liederabendcat muchaas!! y algunas muy bonitaas! pero es verdad que se tiende a interpretar los 40 principales..,0
@kraulot hahahaha yo aquí esperando impaciente,0
"@samm_bntz bebé, no sé si sea error de dedo cuando ando de chismosa o es que a leos y a ti, no los quieren en mi lista de amigos en insta",1
@feralcazar_ es grasioso porque en vez de aspirar a ser alcalde aspiras a concejal...,0
@santizuza  vete buscandote un ayudante que sepa de medicina porque entre digard y riviere haras las cronicas desde la enfermeria,0
@toni_end seria mejor que dejasen de emitir esa basura ya  hay que evolucionar para bien y eso,0
las mujeres son más pasionales,1
se viene pelea y de las fuertes entre willy toledo y el pequeño nicolás #hableconellas,0
@anhela_ @maxferibar @elprogramadear @psoe así es compañera. un fuerte abrazo!,0
@radicaiizate @pvaya pero... ella... no es verde!!!! aunque ahora que lo dices... es muy... eh...,0
si te encontrará tras cien años encontraré tus ojos negros entre millones de ojos negros,0
@alexiapalacio me dan asco los higos o no sé qué y todo en general,0
@olgamatilde lo bueno que los años se están yendo muy rápido y pronto vendrá el siguiente invierno,0
@tribuna_i apenas inició el torneo y ya están diciendo si ya va la buena para @chivas hay equipos mejores que el rebaño,0
@albgard oh  ¿me estás llamando gordo? jajaja grazie ruliño  lo mismo puedo decir,1
que dificil es retomar los estudios despues de dos meses sin tocar un libro.. #pereza #ganascero #septiembre=examen,0
días!!! suelta las viejas creencias. cambia tu energía. cruza los límites imaginarios. usa tu corazón. libera tu niño interior... besitos,0
@edwardchdz @galmty discúlpame! apenas vi! no todo estaba abierto y normal,0
"@_nosoyartista @telcel @att pues si, yo creo, mi papá me dejo un equipo att y al igual lo uso mejor, porque ya estoy harta de esto.",0
por cierto @advystyles podria hablar contigo por md? gracias,0
"ojalá se ponga de moda tener un poco de respeto y educación. no sólo des like, aplícalo en tu vida! no aparentes cosas q no son! #anotele",0
"@contactocitibmx en la mañana habían retenido la compra en linea porque pensaban que era fraude con la tarjeta, pero ya lo resolvieron.",0
"me afeité hace dos días y no me puedo arrepentir más. ahora aprece que tengo 5 años, y no me toman en serio ",0
@virginiadlp ahora es cuando tomo mis notas y comienzo a hacerle preguntas a mi nueva hija,1
tengo dos orzuelos enquistados en el ojo izquierdo y me hacen la cara muy asimétrica. me veo raro,0
@lahierritos pues sabran més q jo *curso ccc de mirones y mironas,0
"eres un hombre, no puedes llorar.",1
"la única a la que le voy a decir es a mi novia. así que si no me estás pagando ningún recibo de mi casa, no estés chingando",0
@txemacg @antoniosanto yo lo hice en el cole ! fuimos a trafico un par de días a aprender a circular con bici  (colegio público),0
pintarse las uñas es de chicas.,1
"días!!! no tengas miedo de vivir, rómpete el corazón y el alma, que la vida se nos da no para regresarla intacta, sino vivida... besitos",0
(en una entrevista de trabajo): ¿tienes pensado tener hijos?,1
@marinaytal te pico mucho. eres muy graciosa. me río con tus chistes de kk. me odias porque no me gusta suicide silence,1
"tengo ganas de bronca estoy aburrido, proximo tweet abro el cajon de mierda ",0
los hombres son racionales y las mujeres emocionales,1
"lo he añadido porque antes no sabia hacerlo, pero estuve leyendo estos dias bastante y encontre el modo de hacerlo perfecto ",0
muchas gracias por este fantástico post  @conelmorrofino,0
"de esto que sueñas que estás comiendo poutine, te despiertas, ves que no hay poutine y quieres llorar  pocas cosas echo más de menos",0
4:18 am. que gran dilema. ¿despertar a mamá para que me baje a abrirme o dejar que siga durmiendo? pd. venga saliendo del trabajo,1
cuando tus colegas se ponen a alabar a los musicos de estopa y pasan de ti que eres la estopera. tener amigos pa esto,0
@agarotadipanema @montano66 yo solo cité la gran definición que dio de ellos muy pronto el artista omar jerez,0
pero llegar al hogar me da inmediata alegría en el corazón. y así es como mis días cierran bonito desde hace un tiempo.,0
mientras luchamos por separado nos vencen juntos,0
"oie , adoro mi cuenta , llena de cosas bonitas ",0
salimos @uruguaya79 para zaragoza  fin de semana único,0
@radiocable siempre caen los mejores.  suerte.,0
"@reinadelosgatos mira el hilo, que está explicado  es el primer planeta (b) de la estrella próxima centaur próxima centauri b",0
no sabía que el ser humano fuese capaz de producir tanto moco verde. hasta ahora. #ganandocomosiempre,0
"@anabrendac: hola, paso a desearte un feliz año nuevo 2017 y que esté lleno de salud, abundancia y éxitos para ti y para los tuyos",0
mi drama es que ahora me sale primero @taracanto en vez de @/blascanto y me confundo bc costumbre de dar al primer user,0
"@tuamigatuitera pues ya ni nos hablas y si iré, iré como el 20 o algo así de enero!",0
pues empecé mi día con el pie derecho... metido en un monte de tierra por las reparaciones de las calles,0
